"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jul 09 20:22:45 UTC 2025","Wed Jul 09 20:22:49 UTC 2025","4342","","","","","","User logs in with invalid credentials -- @1.1 ",""
"passed","Wed Jul 09 11:46:25 UTC 2025","Wed Jul 09 11:46:48 UTC 2025","22667","","","","","","User logs in",""
"passed","Wed Jul 09 11:46:01 UTC 2025","Wed Jul 09 11:46:25 UTC 2025","24092","","","","","","User logs in with wrong password",""
"broken","Wed Jul 09 20:22:49 UTC 2025","Wed Jul 09 20:22:50 UTC 2025","200","","","","","","User logs in with invalid credentials -- @1.3 ",""
"broken","Wed Jul 09 20:22:50 UTC 2025","Wed Jul 09 20:22:50 UTC 2025","199","","","","","","User logs in with invalid credentials -- @1.7 ",""
"broken","Wed Jul 09 20:22:49 UTC 2025","Wed Jul 09 20:22:49 UTC 2025","265","","","","","","User logs in with invalid credentials -- @1.2 ",""
"broken","Wed Jul 09 20:22:45 UTC 2025","Wed Jul 09 20:22:49 UTC 2025","4351","","","","","","User logs in with different credentials -- @1.1 ",""
"broken","Wed Jul 09 20:22:49 UTC 2025","Wed Jul 09 20:22:49 UTC 2025","260","","","","","","User logs in with different credentials -- @1.2 ",""
"broken","Wed Jul 09 20:22:50 UTC 2025","Wed Jul 09 20:22:50 UTC 2025","198","","","","","","User logs in with invalid credentials -- @1.4 ",""
"broken","Wed Jul 09 20:22:50 UTC 2025","Wed Jul 09 20:22:50 UTC 2025","198","","","","","","User logs in with invalid credentials -- @1.6 ",""
"broken","Wed Jul 09 20:22:50 UTC 2025","Wed Jul 09 20:22:50 UTC 2025","210","","","","","","User logs in with invalid credentials -- @1.5 ",""
